Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
25-34,Female,$3000-$4999,Master’s,Employed,6-10 times,$200+,Electronics,Mobile,Reviews,Neutral,No,Likely,$5-9,Sometimes,Maybe,Complicated Checkout,Never,Very Sensitive,Likely,Product Quality,Better Loyalty Rewards,9,Morning,Yes
55+,Female,$3000-$4999,Bachelor’s,Student,3-5 times,$50-$99,Books,Desktop/Laptop,Brand,Neutral,Maybe,Likely,<$5,Sometimes,No,Complicated Checkout,Rarely,Somewhat Sensitive,Likely,"Product Quality,Lack of Variety",Flexible Returns,8,Afternoon,Maybe
18-24,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,"Home & Kitchen,Electronics,Other",Desktop/Laptop,Brand,Likely,Maybe,Very Likely,<$5,Sometimes,Yes,Slow Delivery,Often,Very Sensitive,Likely,"Product Quality,Delivery Delays,Payment Issues","One-Click Checkout,Flexible Returns,Better Loyalty Rewards",6,Evening,Yes
25-34,Female,"$10,000+",Bachelor’s,Retired,10+ times,$20-$49,"Books,Groceries",Mobile,Discounts,Very Likely,Yes,Neutral,<$5,No,No,Other,Sometimes,Somewhat Sensitive,Neutral,"Product Quality,Delivery Delays","Flexible Returns,Better Loyalty Rewards",7,Afternoon,No
25-34,Male,$5000-$9999,Doctorate,Student,6-10 times,$50-$99,"Other,Home & Kitchen,Health & Beauty",Mobile,Price,Likely,No,Unlikely,<$5,Sometimes,Yes,Complicated Checkout,Sometimes,Not Very Sensitive,Very Likely,Payment Issues,"Live Chat Support,One-Click Checkout",9,Night,Yes
35-44,Female,$1000-$2999,Bachelor’s,Employed,10+ times,$20-$49,"Books,Health & Beauty,Other",Mobile,Discounts,Very Likely,No,Likely,None,No,Maybe,High Shipping Costs,Rarely,Somewhat Sensitive,Very Likely,"Payment Issues,Poor Customer Service,Product Quality",Better Loyalty Rewards,9,Evening,Yes
55+,Male,"$10,000+",Master’s,Employed,3-5 times,$100-$199,"Groceries,Home & Kitchen",Mobile,Discounts,Likely,Maybe,Likely,<$5,Yes,No,Changed Mind,Always,Not at All Sensitive,Very Likely,Delivery Delays,"One-Click Checkout,Live Chat Support",5,Evening,Yes
25-34,Female,"$10,000+",Master’s,Employed,6-10 times,$50-$99,"Home & Kitchen,Groceries",Desktop/Laptop,Reviews,Unlikely,No,Likely,$20+,No,Yes,High Shipping Costs,Rarely,Somewhat Sensitive,Very Likely,"Payment Issues,Lack of Variety","Better Loyalty Rewards,Live Chat Support,One-Click Checkout",6,Evening,Yes
25-34,Male,<$1000,Bachelor’s,Employed,3-5 times,$20-$49,"Fashion,Books,Electronics",Mobile,Discounts,Likely,No,Very Likely,$5-9,No,No,Complicated Checkout,Sometimes,Very Sensitive,Neutral,"Other,Product Quality,Payment Issues",Better Loyalty Rewards,6,Night,No
18-24,Male,$1000-$2999,High School,Employed,1-2 times,$20-$49,"Groceries,Health & Beauty",Mobile,Discounts,Very Likely,Yes,Very Unlikely,<$5,Yes,No,High Shipping Costs,Always,Neutral,Likely,"Lack of Variety,Product Quality",Live Chat Support,7,Evening,No
25-34,Female,$5000-$9999,Master’s,Employed,6-10 times,$100-$199,"Fashion,Groceries",Mobile,Price,Neutral,No,Very Likely,$10-19,Sometimes,Maybe,Other,Never,Very Sensitive,Neutral,"Delivery Delays,Poor Customer Service",Live Chat Support,4,Afternoon,No
35-44,Female,$1000-$2999,Doctorate,Employed,3-5 times,$50-$99,"Health & Beauty,Fashion,Groceries",Mobile,Discounts,Likely,No,Likely,None,Yes,Yes,Slow Delivery,Rarely,Somewhat Sensitive,Likely,"Payment Issues,Product Quality","AR Product Previews,One-Click Checkout,Better Loyalty Rewards",5,Evening,Maybe
25-34,Male,$1000-$2999,Master’s,Employed,3-5 times,$50-$99,"Home & Kitchen,Groceries",Mobile,Product Range,Unlikely,Maybe,Very Likely,$20+,Yes,Yes,High Shipping Costs,Rarely,Neutral,Unlikely,"Poor Customer Service,Delivery Delays",Live Chat Support,5,Night,No
25-34,Female,$3000-$4999,Bachelor’s,Employed,6-10 times,$50-$99,Groceries,Mobile,Price,Neutral,Yes,Likely,<$5,No,No,Complicated Checkout,Sometimes,Not Very Sensitive,Unlikely,"Product Quality,Lack of Variety,Poor Customer Service",Other,3,Evening,No
18-24,Male,$1000-$2999,Bachelor’s,Retired,1-2 times,$50-$99,Health & Beauty,Tablet,Discounts,Unlikely,Yes,Neutral,None,No,No,Slow Delivery,Rarely,Neutral,Very Unlikely,Poor Customer Service,"Better Loyalty Rewards,One-Click Checkout,Live Chat Support",6,Morning,No
18-24,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$100-$199,Groceries,Desktop/Laptop,Discounts,Likely,No,Neutral,None,Yes,Yes,Changed Mind,Never,Somewhat Sensitive,Neutral,"Payment Issues,Lack of Variety","AR Product Previews,Flexible Returns,One-Click Checkout",5,Night,No
25-34,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$100-$199,"Fashion,Electronics",Mobile,Price,Very Likely,Yes,Very Likely,$5-9,Sometimes,Yes,Slow Delivery,Rarely,Neutral,Unlikely,"Delivery Delays,Lack of Variety","One-Click Checkout,Better Loyalty Rewards,Live Chat Support",6,Afternoon,Yes
35-44,Female,$3000-$4999,High School,Unemployed,10+ times,$50-$99,"Electronics,Fashion,Health & Beauty",Mobile,Discounts,Very Unlikely,No,Neutral,<$5,Sometimes,Yes,Slow Delivery,Often,Somewhat Sensitive,Neutral,Lack of Variety,"Better Loyalty Rewards,Other,Live Chat Support",8,Afternoon,Maybe
55+,Male,$1000-$2999,Bachelor’s,Student,6-10 times,<$20,"Fashion,Other,Electronics",Other,Reviews,Neutral,Yes,Unlikely,<$5,No,Yes,High Shipping Costs,Sometimes,Somewhat Sensitive,Very Unlikely,Product Quality,Better Loyalty Rewards,7,Morning,No
45-54,Female,$5000-$9999,High School,Employed,1-2 times,$20-$49,Groceries,Mobile,Discounts,Neutral,No,Likely,$5-9,Sometimes,Yes,High Shipping Costs,Sometimes,Very Sensitive,Likely,"Delivery Delays,Product Quality,Other",Better Loyalty Rewards,6,Evening,Yes
18-24,Female,$5000-$9999,Bachelor’s,Employed,3-5 times,$100-$199,Other,Mobile,Price,Likely,No,Very Unlikely,$5-9,No,No,Changed Mind,Sometimes,Very Sensitive,Likely,"Other,Product Quality,Lack of Variety","One-Click Checkout,AR Product Previews,Other",3,Evening,No
35-44,Male,$3000-$4999,Bachelor’s,Student,3-5 times,$200+,"Electronics,Fashion",Mobile,Brand,Unlikely,Yes,Very Likely,$5-9,Sometimes,Yes,Other,Sometimes,Not Very Sensitive,Very Unlikely,"Product Quality,Lack of Variety,Delivery Delays","Live Chat Support,Better Loyalty Rewards",8,Afternoon,Yes
35-44,Female,$3000-$4999,Bachelor’s,Student,10+ times,$20-$49,Health & Beauty,Mobile,Discounts,Very Likely,Yes,Very Unlikely,None,Sometimes,Yes,Changed Mind,Sometimes,Not Very Sensitive,Very Likely,"Lack of Variety,Other","Flexible Returns,Better Loyalty Rewards,One-Click Checkout",5,Morning,Yes
55+,Male,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Health & Beauty,Electronics,Groceries",Mobile,Delivery Speed,Likely,Yes,Very Likely,$5-9,Sometimes,Maybe,Changed Mind,Never,Not at All Sensitive,Likely,"Lack of Variety,Delivery Delays,Product Quality","Flexible Returns,Better Loyalty Rewards",10,Evening,Yes
45-54,Female,$5000-$9999,Doctorate,Employed,6-10 times,$50-$99,"Home & Kitchen,Books,Fashion",Mobile,Reviews,Very Unlikely,Yes,Unlikely,$5-9,Sometimes,Yes,Slow Delivery,Never,Very Sensitive,Likely,"Payment Issues,Product Quality,Lack of Variety","Better Loyalty Rewards,Flexible Returns",10,Evening,Maybe
25-34,Female,$5000-$9999,Bachelor’s,Employed,1-2 times,$200+,Home & Kitchen,Mobile,Brand,Likely,Maybe,Neutral,$20+,No,Yes,Slow Delivery,Rarely,Very Sensitive,Likely,"Delivery Delays,Other","Flexible Returns,Better Loyalty Rewards,One-Click Checkout",4,Morning,Maybe
18-24,Male,$3000-$4999,High School,Student,6-10 times,$20-$49,"Home & Kitchen,Fashion",Desktop/Laptop,Discounts,Very Unlikely,No,Neutral,$5-9,No,Yes,High Shipping Costs,Sometimes,Very Sensitive,Unlikely,"Product Quality,Delivery Delays",One-Click Checkout,6,Afternoon,No
45-54,Female,$1000-$2999,Master’s,Employed,10+ times,$100-$199,Fashion,Mobile,Price,Neutral,No,Very Likely,$5-9,Yes,No,Slow Delivery,Sometimes,Very Sensitive,Likely,"Product Quality,Other,Delivery Delays","Live Chat Support,Flexible Returns",8,Morning,Maybe
18-24,Male,$5000-$9999,High School,Self-employed,6-10 times,$50-$99,"Home & Kitchen,Groceries",Mobile,Discounts,Unlikely,Yes,Very Likely,$5-9,Yes,No,Complicated Checkout,Rarely,Neutral,Very Likely,"Lack of Variety,Delivery Delays","Live Chat Support,AR Product Previews",7,Night,Yes
18-24,Female,"$10,000+",Master’s,Employed,1-2 times,<$20,"Groceries,Fashion,Health & Beauty",Mobile,Price,Very Unlikely,Yes,Likely,None,Yes,Yes,Changed Mind,Never,Somewhat Sensitive,Very Unlikely,"Delivery Delays,Payment Issues,Product Quality","Flexible Returns,Live Chat Support,One-Click Checkout",6,Evening,No
55+,Prefer not to say,"$10,000+",Bachelor’s,Employed,6-10 times,$20-$49,"Groceries,Health & Beauty,Home & Kitchen",Mobile,Price,Unlikely,Yes,Neutral,$20+,Yes,No,High Shipping Costs,Sometimes,Very Sensitive,Unlikely,Product Quality,"Live Chat Support,Flexible Returns,Better Loyalty Rewards",8,Morning,No
25-34,Male,$3000-$4999,Master’s,Unemployed,1-2 times,$20-$49,"Groceries,Fashion",Desktop/Laptop,Brand,Unlikely,Yes,Likely,None,No,Yes,High Shipping Costs,Rarely,Neutral,Likely,"Other,Product Quality,Lack of Variety","AR Product Previews,One-Click Checkout",7,Afternoon,No
25-34,Female,$3000-$4999,Master’s,Employed,1-2 times,<$20,"Fashion,Health & Beauty,Electronics",Other,Product Range,Very Unlikely,Maybe,Likely,<$5,No,No,Other,Sometimes,Very Sensitive,Likely,"Product Quality,Other","Live Chat Support,AR Product Previews,One-Click Checkout",8,Night,No
35-44,Female,$1000-$2999,Master’s,Employed,10+ times,$200+,"Electronics,Fashion",Mobile,Reviews,Very Likely,No,Very Likely,$5-9,Yes,No,Other,Never,Neutral,Unlikely,"Delivery Delays,Other","Flexible Returns,One-Click Checkout,AR Product Previews",4,Evening,Yes
55+,Female,$3000-$4999,High School,Employed,6-10 times,$50-$99,Home & Kitchen,Mobile,Discounts,Neutral,No,Very Likely,None,Yes,No,Security Concerns,Sometimes,Somewhat Sensitive,Very Unlikely,Other,"Better Loyalty Rewards,Live Chat Support,Flexible Returns",3,Night,Yes
35-44,Male,$3000-$4999,Master’s,Employed,6-10 times,$50-$99,Groceries,Mobile,Reviews,Very Unlikely,Yes,Very Likely,<$5,Sometimes,Yes,High Shipping Costs,Sometimes,Not Very Sensitive,Neutral,"Other,Poor Customer Service,Product Quality","Better Loyalty Rewards,AR Product Previews",3,Evening,Yes
35-44,Female,$3000-$4999,Master’s,Unemployed,3-5 times,$50-$99,"Groceries,Fashion",Mobile,Brand,Neutral,Yes,Unlikely,$5-9,No,Maybe,Complicated Checkout,Never,Very Sensitive,Likely,Product Quality,"Better Loyalty Rewards,Flexible Returns",10,Night,Maybe
45-54,Male,$1000-$2999,Bachelor’s,Student,1-2 times,$50-$99,"Fashion,Books",Desktop/Laptop,Price,Unlikely,Yes,Likely,<$5,Sometimes,No,High Shipping Costs,Sometimes,Very Sensitive,Neutral,Product Quality,"Better Loyalty Rewards,Live Chat Support",8,Night,Yes
18-24,Male,$3000-$4999,Other,Employed,10+ times,$50-$99,Home & Kitchen,Desktop/Laptop,Reviews,Likely,No,Very Likely,None,Yes,No,Changed Mind,Sometimes,Not at All Sensitive,Likely,"Lack of Variety,Product Quality,Other","Other,One-Click Checkout,Flexible Returns",10,Evening,No
18-24,Female,$3000-$4999,Doctorate,Employed,3-5 times,$50-$99,Health & Beauty,Mobile,Discounts,Very Likely,Maybe,Likely,$5-9,No,No,Changed Mind,Sometimes,Neutral,Likely,"Payment Issues,Product Quality,Other","Live Chat Support,Flexible Returns",1,Morning,Yes
18-24,Female,"$10,000+",Bachelor’s,Employed,3-5 times,$50-$99,"Other,Groceries,Fashion",Mobile,Reviews,Unlikely,No,Unlikely,<$5,No,Maybe,Security Concerns,Sometimes,Very Sensitive,Unlikely,"Payment Issues,Other,Product Quality",Flexible Returns,7,Evening,Yes
25-34,Male,$5000-$9999,Master’s,Employed,1-2 times,<$20,"Electronics,Fashion,Home & Kitchen",Desktop/Laptop,Brand,Likely,Maybe,Neutral,<$5,Sometimes,No,Complicated Checkout,Often,Neutral,Likely,"Lack of Variety,Payment Issues,Poor Customer Service","Flexible Returns,Better Loyalty Rewards",7,Evening,Yes
18-24,Male,$5000-$9999,Bachelor’s,Employed,6-10 times,$20-$49,"Health & Beauty,Fashion",Desktop/Laptop,Brand,Very Likely,Maybe,Likely,$10-19,No,Maybe,Changed Mind,Never,Neutral,Likely,"Product Quality,Lack of Variety,Delivery Delays","Better Loyalty Rewards,One-Click Checkout,Other",7,Afternoon,No
25-34,Male,$1000-$2999,Bachelor’s,Employed,6-10 times,$20-$49,"Fashion,Health & Beauty",Mobile,Discounts,Neutral,Yes,Unlikely,$5-9,Yes,Yes,Slow Delivery,Often,Very Sensitive,Unlikely,Poor Customer Service,One-Click Checkout,9,Evening,Yes
25-34,Female,$3000-$4999,Doctorate,Employed,6-10 times,$50-$99,"Electronics,Books",Mobile,Reviews,Likely,Yes,Likely,$5-9,Sometimes,Yes,Slow Delivery,Sometimes,Not at All Sensitive,Unlikely,"Lack of Variety,Poor Customer Service,Payment Issues","One-Click Checkout,Live Chat Support,Other",7,Morning,No
25-34,Male,$3000-$4999,Master’s,Student,1-2 times,<$20,"Home & Kitchen,Groceries",Mobile,Brand,Unlikely,Maybe,Likely,<$5,No,Yes,Security Concerns,Sometimes,Very Sensitive,Unlikely,"Delivery Delays,Other","Other,One-Click Checkout,Better Loyalty Rewards",4,Afternoon,No
18-24,Male,<$1000,Master’s,Employed,3-5 times,$100-$199,"Fashion,Other",Mobile,Price,Very Likely,Yes,Likely,<$5,No,No,Slow Delivery,Sometimes,Neutral,Neutral,"Payment Issues,Poor Customer Service","AR Product Previews,Flexible Returns",8,Afternoon,Maybe
18-24,Female,$1000-$2999,Doctorate,Student,10+ times,$20-$49,Fashion,Mobile,Delivery Speed,Neutral,No,Likely,<$5,Sometimes,No,Other,Sometimes,Neutral,Likely,"Product Quality,Payment Issues,Delivery Delays","Better Loyalty Rewards,One-Click Checkout,AR Product Previews",7,Morning,Yes
45-54,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,Health & Beauty,Mobile,Discounts,Very Likely,No,Unlikely,$10-19,Yes,Yes,Slow Delivery,Rarely,Not Very Sensitive,Likely,"Product Quality,Delivery Delays",Better Loyalty Rewards,7,Morning,Yes
25-34,Male,<$1000,Master’s,Employed,6-10 times,<$20,Groceries,Desktop/Laptop,Reviews,Neutral,Maybe,Unlikely,$5-9,Yes,No,Other,Sometimes,Very Sensitive,Very Unlikely,Product Quality,"AR Product Previews,Other",8,Evening,No
25-34,Male,$3000-$4999,Master’s,Retired,3-5 times,$50-$99,"Health & Beauty,Electronics",Mobile,Reviews,Unlikely,Maybe,Very Unlikely,$5-9,Yes,No,High Shipping Costs,Never,Very Sensitive,Likely,"Payment Issues,Delivery Delays",Flexible Returns,8,Evening,Maybe
35-44,Male,$3000-$4999,High School,Employed,3-5 times,$100-$199,Groceries,Desktop/Laptop,Brand,Very Likely,Yes,Neutral,$5-9,Sometimes,Maybe,Security Concerns,Rarely,Somewhat Sensitive,Likely,Poor Customer Service,"Better Loyalty Rewards,Flexible Returns,One-Click Checkout",4,Afternoon,Yes
25-34,Female,"$10,000+",Bachelor’s,Unemployed,1-2 times,$100-$199,"Other,Home & Kitchen",Desktop/Laptop,Discounts,Very Likely,No,Unlikely,<$5,No,No,Other,Never,Somewhat Sensitive,Unlikely,"Delivery Delays,Product Quality,Poor Customer Service",Flexible Returns,9,Night,Yes
25-34,Male,$3000-$4999,Doctorate,Employed,6-10 times,$20-$49,"Electronics,Other",Mobile,Discounts,Neutral,No,Likely,None,Yes,No,Changed Mind,Never,Very Sensitive,Neutral,Payment Issues,"Live Chat Support,Better Loyalty Rewards",7,Evening,Yes
45-54,Male,$3000-$4999,Bachelor’s,Employed,1-2 times,$200+,Health & Beauty,Desktop/Laptop,Discounts,Unlikely,Maybe,Very Unlikely,<$5,Yes,Yes,Complicated Checkout,Sometimes,Not Very Sensitive,Very Likely,"Product Quality,Poor Customer Service,Delivery Delays","One-Click Checkout,Better Loyalty Rewards,AR Product Previews",5,Evening,Maybe
55+,Male,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,"Fashion,Books,Health & Beauty",Desktop/Laptop,Brand,Very Unlikely,Yes,Neutral,$20+,Sometimes,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,"Delivery Delays,Lack of Variety",One-Click Checkout,10,Evening,Maybe
55+,Male,$5000-$9999,Bachelor’s,Retired,3-5 times,$100-$199,Fashion,Desktop/Laptop,Price,Unlikely,Yes,Very Likely,<$5,No,No,High Shipping Costs,Sometimes,Neutral,Very Likely,"Delivery Delays,Other","One-Click Checkout,AR Product Previews",5,Evening,Maybe
25-34,Female,$1000-$2999,Doctorate,Employed,6-10 times,<$20,"Electronics,Fashion,Groceries",Mobile,Price,Likely,Yes,Unlikely,$5-9,Sometimes,Maybe,Changed Mind,Often,Very Sensitive,Very Likely,"Product Quality,Poor Customer Service","Flexible Returns,One-Click Checkout,AR Product Previews",5,Night,No
25-34,Male,<$1000,Master’s,Employed,1-2 times,$20-$49,"Electronics,Health & Beauty",Mobile,Price,Neutral,No,Unlikely,<$5,Sometimes,No,Complicated Checkout,Never,Very Sensitive,Likely,"Product Quality,Delivery Delays,Lack of Variety",AR Product Previews,6,Evening,Maybe
35-44,Male,$1000-$2999,Bachelor’s,Student,3-5 times,<$20,"Groceries,Electronics,Fashion",Mobile,Delivery Speed,Very Unlikely,Yes,Very Likely,None,No,No,Other,Never,Somewhat Sensitive,Very Likely,"Lack of Variety,Other","AR Product Previews,Better Loyalty Rewards,Flexible Returns",7,Morning,Yes
45-54,Male,$3000-$4999,Bachelor’s,Retired,1-2 times,$50-$99,"Fashion,Groceries,Home & Kitchen",Desktop/Laptop,Price,Likely,Yes,Neutral,<$5,No,Yes,Changed Mind,Rarely,Not Very Sensitive,Neutral,"Poor Customer Service,Product Quality,Other",Other,7,Evening,Yes
18-24,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,"Home & Kitchen,Books,Groceries",Mobile,Brand,Very Likely,Yes,Neutral,$5-9,No,Maybe,Changed Mind,Sometimes,Neutral,Very Unlikely,"Poor Customer Service,Product Quality","One-Click Checkout,Flexible Returns",7,Evening,No
18-24,Male,$5000-$9999,Bachelor’s,Employed,1-2 times,$50-$99,"Other,Books",Mobile,Product Range,Likely,Yes,Likely,$5-9,No,No,Slow Delivery,Never,Not Very Sensitive,Likely,"Payment Issues,Poor Customer Service",Other,6,Night,Yes
25-34,Male,$5000-$9999,Doctorate,Employed,3-5 times,$200+,"Groceries,Other,Health & Beauty",Desktop/Laptop,Brand,Likely,Yes,Very Unlikely,$5-9,Sometimes,Yes,Changed Mind,Rarely,Very Sensitive,Neutral,Poor Customer Service,"Live Chat Support,Better Loyalty Rewards",8,Evening,No
18-24,Female,$5000-$9999,Bachelor’s,Employed,6-10 times,$20-$49,"Home & Kitchen,Groceries,Fashion",Desktop/Laptop,Brand,Unlikely,No,Unlikely,$5-9,Sometimes,Yes,Complicated Checkout,Sometimes,Neutral,Neutral,Delivery Delays,Better Loyalty Rewards,5,Afternoon,Yes
18-24,Male,$1000-$2999,Master’s,Student,6-10 times,$20-$49,Health & Beauty,Mobile,Brand,Likely,No,Unlikely,None,Sometimes,No,Slow Delivery,Rarely,Somewhat Sensitive,Neutral,Delivery Delays,"Flexible Returns,Live Chat Support,One-Click Checkout",6,Night,Yes
35-44,Male,$3000-$4999,Bachelor’s,Student,3-5 times,$50-$99,"Electronics,Groceries,Home & Kitchen",Mobile,Brand,Neutral,Yes,Unlikely,<$5,Yes,Maybe,High Shipping Costs,Rarely,Somewhat Sensitive,Neutral,"Other,Delivery Delays",AR Product Previews,10,Evening,Yes
45-54,Female,"$10,000+",High School,Unemployed,6-10 times,$50-$99,Electronics,Desktop/Laptop,Delivery Speed,Likely,Yes,Neutral,None,Yes,Yes,High Shipping Costs,Sometimes,Not at All Sensitive,Unlikely,"Product Quality,Poor Customer Service,Payment Issues",Live Chat Support,5,Afternoon,No
25-34,Male,$3000-$4999,Master’s,Student,6-10 times,<$20,Groceries,Desktop/Laptop,Price,Very Unlikely,Yes,Likely,$5-9,Yes,No,Changed Mind,Never,Somewhat Sensitive,Likely,"Product Quality,Payment Issues,Delivery Delays","Better Loyalty Rewards,Live Chat Support,AR Product Previews",8,Evening,No
25-34,Male,$1000-$2999,Master’s,Employed,6-10 times,$50-$99,"Groceries,Home & Kitchen,Electronics",Tablet,Reviews,Neutral,Yes,Neutral,<$5,Yes,Maybe,Complicated Checkout,Sometimes,Very Sensitive,Likely,"Other,Delivery Delays,Poor Customer Service","AR Product Previews,Other",8,Evening,No
25-34,Male,<$1000,Master’s,Employed,3-5 times,$20-$49,"Health & Beauty,Electronics,Other",Desktop/Laptop,Price,Neutral,Yes,Likely,<$5,Yes,No,Complicated Checkout,Rarely,Not Very Sensitive,Neutral,Poor Customer Service,"Other,Better Loyalty Rewards,One-Click Checkout",5,Afternoon,Yes
35-44,Male,<$1000,Bachelor’s,Unemployed,3-5 times,$200+,Home & Kitchen,Mobile,Reviews,Very Likely,No,Very Likely,None,Sometimes,No,Security Concerns,Sometimes,Very Sensitive,Unlikely,Product Quality,"One-Click Checkout,Live Chat Support,Better Loyalty Rewards",5,Morning,Yes
55+,Male,$3000-$4999,Bachelor’s,Self-employed,1-2 times,$20-$49,"Electronics,Groceries,Home & Kitchen",Mobile,Price,Unlikely,No,Neutral,<$5,Sometimes,Yes,Slow Delivery,Never,Very Sensitive,Neutral,"Poor Customer Service,Delivery Delays","Live Chat Support,One-Click Checkout,Better Loyalty Rewards",4,Evening,Maybe
25-34,Female,$3000-$4999,Doctorate,Employed,6-10 times,<$20,"Fashion,Other",Desktop/Laptop,Brand,Neutral,No,Very Likely,None,No,No,Complicated Checkout,Rarely,Neutral,Unlikely,Payment Issues,"Flexible Returns,Live Chat Support,Better Loyalty Rewards",1,Evening,Yes
45-54,Female,$3000-$4999,Master’s,Student,3-5 times,$50-$99,"Health & Beauty,Groceries,Books",Mobile,Brand,Likely,Yes,Neutral,$5-9,Yes,Yes,Changed Mind,Rarely,Somewhat Sensitive,Likely,"Product Quality,Poor Customer Service",Better Loyalty Rewards,7,Night,Yes
25-34,Female,$3000-$4999,Master’s,Employed,6-10 times,$50-$99,Groceries,Mobile,Price,Likely,Yes,Likely,$10-19,Sometimes,Maybe,Slow Delivery,Often,Neutral,Likely,"Product Quality,Delivery Delays","Flexible Returns,One-Click Checkout",8,Afternoon,No
45-54,Female,"$10,000+",Master’s,Retired,6-10 times,$100-$199,Other,Mobile,Price,Likely,No,Likely,<$5,No,No,Slow Delivery,Never,Not Very Sensitive,Likely,Other,"Live Chat Support,One-Click Checkout",6,Evening,No
55+,Male,$3000-$4999,Other,Self-employed,6-10 times,$20-$49,"Health & Beauty,Groceries,Other",Other,Discounts,Likely,No,Very Unlikely,$5-9,No,No,Slow Delivery,Often,Somewhat Sensitive,Very Likely,"Product Quality,Payment Issues","Flexible Returns,One-Click Checkout",6,Night,Yes
18-24,Male,$3000-$4999,Master’s,Student,3-5 times,$20-$49,"Electronics,Books,Fashion",Mobile,Discounts,Neutral,No,Very Likely,$20+,Yes,Yes,Complicated Checkout,Often,Somewhat Sensitive,Unlikely,Product Quality,"Flexible Returns,Live Chat Support",5,Afternoon,Yes
45-54,Male,<$1000,Other,Employed,10+ times,$20-$49,"Fashion,Groceries,Home & Kitchen",Other,Discounts,Likely,Maybe,Likely,$10-19,Yes,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,Product Quality,"Better Loyalty Rewards,Flexible Returns,AR Product Previews",9,Night,Maybe
25-34,Male,<$1000,Doctorate,Student,6-10 times,$20-$49,"Other,Books,Home & Kitchen",Mobile,Price,Unlikely,No,Very Unlikely,$10-19,No,Yes,Slow Delivery,Sometimes,Very Sensitive,Likely,Other,"One-Click Checkout,Other",4,Night,Yes
25-34,Female,$3000-$4999,Master’s,Self-employed,1-2 times,$20-$49,Groceries,Desktop/Laptop,Brand,Likely,No,Likely,None,Yes,Yes,Security Concerns,Often,Somewhat Sensitive,Very Likely,"Payment Issues,Other",Flexible Returns,2,Night,No
35-44,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$50-$99,"Books,Home & Kitchen",Desktop/Laptop,Reviews,Very Unlikely,Yes,Very Likely,None,Yes,Yes,Slow Delivery,Sometimes,Very Sensitive,Neutral,Product Quality,"One-Click Checkout,Better Loyalty Rewards",6,Evening,Yes
25-34,Male,<$1000,Bachelor’s,Retired,3-5 times,$50-$99,Groceries,Desktop/Laptop,Price,Likely,Yes,Unlikely,$5-9,Yes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Very Likely,"Product Quality,Lack of Variety","AR Product Previews,Other,One-Click Checkout",6,Morning,Yes
55+,Female,$1000-$2999,High School,Self-employed,6-10 times,$20-$49,"Home & Kitchen,Groceries,Fashion",Mobile,Brand,Neutral,Yes,Neutral,$5-9,Yes,No,Slow Delivery,Rarely,Very Sensitive,Likely,"Delivery Delays,Product Quality,Lack of Variety","Other,Flexible Returns,Better Loyalty Rewards",6,Morning,No
55+,Male,$3000-$4999,Master’s,Unemployed,3-5 times,$20-$49,Home & Kitchen,Desktop/Laptop,Reviews,Very Likely,No,Likely,None,Yes,Yes,Slow Delivery,Always,Very Sensitive,Neutral,Product Quality,"Better Loyalty Rewards,One-Click Checkout",8,Evening,Maybe
25-34,Male,$1000-$2999,High School,Employed,3-5 times,$200+,"Electronics,Groceries",Mobile,Price,Likely,Yes,Very Likely,<$5,No,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Neutral,Other,Better Loyalty Rewards,5,Afternoon,Yes
35-44,Male,$5000-$9999,Master’s,Employed,3-5 times,$50-$99,"Books,Fashion,Health & Beauty",Other,Product Range,Likely,Maybe,Likely,$5-9,Sometimes,No,Slow Delivery,Sometimes,Very Sensitive,Unlikely,Lack of Variety,"One-Click Checkout,Better Loyalty Rewards",6,Evening,Yes
35-44,Male,$3000-$4999,Master’s,Employed,6-10 times,$100-$199,"Electronics,Fashion",Mobile,Discounts,Unlikely,No,Very Likely,$5-9,Sometimes,Yes,Complicated Checkout,Rarely,Neutral,Unlikely,Lack of Variety,Better Loyalty Rewards,7,Evening,Yes
